captured_date,market,market_name,chart,period_suffix,rank,image_url,primary_name,secondary_name,release_date,metric_value,raw_text
2026-08-31,id,Indonesia,top_videos_weekly,20260521,1,https://i.ytimg.com/vi/38_bAaFI41w/mqdefault.jpg,Don't Force Your Longing,Ifan Seventeen,,,Don't Force Your Longing Ifan Seventeen
2026-08-31,id,Indonesia,top_videos_weekly,20260521,2,https://i.ytimg.com/vi/EngPsM8VnzM/mqdefault.jpg,Kicau Mania,Ndarboy Genk / Banditoz Yaow 86 / BoyCord,,,"Kicau Mania Ndarboy Genk , Banditoz Yaow 86 & BoyCord"
2026-08-31,id,Indonesia,top_videos_weekly,20260521,3,https://i.ytimg.com/vi/F0d8JJUNkqo/mqdefault.jpg,Tabola Bale,SILET OPEN UP / Jacson Zeran / Juan Reza / Diva Aurel,,,"Tabola Bale SILET OPEN UP , Jacson Zeran , Juan Reza & Diva Aurel"
2026-08-31,id,Indonesia,top_videos_weekly,20260521,4,https://i.ytimg.com/vi/Nskf70DMR60/mqdefault.jpg,Sesi Potret,eńau,,,Sesi Potret eńau
2026-08-31,id,Indonesia,top_videos_weekly,20260521,5,https://i.ytimg.com/vi/0VOhIR3bnXY/mqdefault.jpg,ORANG BARU LEBE GACOR,Ecko Show / Juan Reza / CHESYLINO,,,"ORANG BARU LEBE GACOR Ecko Show , Juan Reza & CHESYLINO"
2026-08-31,id,Indonesia,top_videos_weekly,20260521,6,https://i.ytimg.com/vi/lB8ASupNtlw/mqdefault.jpg,everything u are,Hindia,,,everything u are Hindia
2026-08-31,id,Indonesia,top_videos_weekly,20260521,7,https://i.ytimg.com/vi/WZYUSaHlGlk/mqdefault.jpg,NEGORO ANGIN,Denny Caknan,,,NEGORO ANGIN Denny Caknan
2026-08-31,id,Indonesia,top_videos_weekly,20260521,8,https://i.ytimg.com/vi/ZGiniSAS9_8/mqdefault.jpg,Lu Kenal Veronica Ko,Ecko Show,,,Lu Kenal Veronica Ko Ecko Show
2026-08-31,id,Indonesia,top_videos_weekly,20260521,9,https://i.ytimg.com/vi/qQDaxjLReck/mqdefault.jpg,Ini Abadi,Perunggu,,,Ini Abadi Perunggu
2026-08-31,id,Indonesia,top_videos_weekly,20260521,10,https://i.ytimg.com/vi/tAbHxboRGoU/mqdefault.jpg,AMBON MANISE,Toton Caribo,,,AMBON MANISE Toton Caribo
